[13:39:22] INFO | car_value_analysis_service.py | evaluate_from_url | 🔍 evaluating listing_id=414899692 full_key=toyota_corolla_le_fwd_gasoline year=2022 (cohort_size=373)
[13:39:22] INFO | car_value_analysis_service.py | evaluate_from_url | ✅ evaluate done: 价格回血 2054，排 36/373；贬值 528，贬值率 2.2%，排 80/373；全量热度排名：第 2 名；高价值配置：前排座椅加热；关键安全配置：防抱死制动，自适应巡航，倒车影像，侧气帘；可信度：Carfax 记录
[13:48:28] INFO | main_api.py | lifespan | 🛑 服务已关闭
[13:48:29] INFO | main_api.py | lifespan | 🚀 服务启动成功
[13:48:29] INFO | main_api.py | lifespan | 🚀 当前热重载模式: WatchFilesReload
[13:48:46] INFO | main_api.py | <module> | 🚀 预计热重载模式: WatchFilesReload
[13:48:46] INFO | main_api.py | <module> | 🔧 热加载监听：['D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\api', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\services', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\core', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\utils']
[13:48:46] INFO | main_api.py | <module> | 📄 swagger: http://localhost:8000/docs
[13:48:46] INFO | main_api.py | <module> | 📄 redoc:   http://localhost:8000/redoc
[13:48:46] INFO | main_api.py | <module> | 📄 openapi: http://localhost:8000/openapi.json
[13:48:47] INFO | main_api.py | lifespan | 🚀 服务启动成功
[13:48:47] INFO | main_api.py | lifespan | 🚀 当前热重载模式: WatchFilesReload
[13:48:52] INFO | main_api.py | api_evaluate | 🔍 接收到评估请求: https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K1G&distance=250&entitySelectingHelper.selectedEntity=m7#listing=414899692/NONE/DEFAULT
[13:48:54] INFO | car_value_analysis_service.py | evaluate_from_url | 🔍 evaluating listing_id=414899692 full_key=toyota_corolla_le_fwd_gasoline year=2022 (cohort_size=373)
[13:48:54] INFO | car_value_analysis_service.py | evaluate_from_url | ✅ evaluate done: 价格回血 2054，排 36/373；贬值 528，贬值率 2.2%，排 80/373；全量热度排名：第 2 名；高价值配置：前排座椅加热；关键安全配置：防抱死制动，自适应巡航，倒车影像，侧气帘；可信度：Carfax 记录
[13:59:35] INFO | main_api.py | lifespan | 🛑 服务已关闭
[13:59:36] INFO | main_api.py | lifespan | 🚀 服务启动成功
[13:59:36] INFO | main_api.py | lifespan | 🚀 当前热重载模式: WatchFilesReload
[13:59:45] INFO | main_api.py | <module> | 🚀 预计热重载模式: WatchFilesReload
[13:59:45] INFO | main_api.py | <module> | 🔧 热加载监听：['D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\api', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\services', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\core', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\utils']
[13:59:45] INFO | main_api.py | <module> | 📄 swagger: http://localhost:8000/docs
[13:59:45] INFO | main_api.py | <module> | 📄 redoc:   http://localhost:8000/redoc
[13:59:45] INFO | main_api.py | <module> | 📄 openapi: http://localhost:8000/openapi.json
[13:59:46] INFO | main_api.py | lifespan | 🚀 服务启动成功
[13:59:46] INFO | main_api.py | lifespan | 🚀 当前热重载模式: WatchFilesReload
[13:59:54] INFO | main_api.py | api_evaluate | 🔍 接收到评估请求: https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K1G&distance=250&entitySelectingHelper.selectedEntity=m7#listing=414899692/NONE/DEFAULT
[13:59:55] INFO | car_value_analysis_service.py | evaluate_from_url | 🔍 evaluating listing_id=414899692 full_key=toyota_corolla_le_fwd_gasoline year=2022 (cohort_size=373)
[13:59:55] INFO | car_value_analysis_service.py | evaluate_from_url | ✅ evaluate done: {'points': ['价格有优势（≈2,054）', '预计短期贬值较小（≈2.2%）', '热度高（全量第 2 名）'], 'next_actions': ['预约看车并核对 Carfax / 保养记录 / 里程一致性', '现场检查电池健康、轮胎与刹车、随车充电配件/钥匙', '车况正常可小幅议价；不合适继续对比同款']}
[14:07:01] INFO | main_api.py | lifespan | 🛑 服务已关闭
